"","ApproximateTitle","Year","TexttoParse","Coder"
"693","Infections and Risk of Celiac Disease in Childhood: A Prospective Nationwide Cohort Study.",2015,"Marild, K., C. R. Kahrs, G. Tapia, L. C. Stene and K. Stordal (2015). ""Infections and Risk of Celiac Disease in Childhood: A Prospective Nationwide Cohort Study."" Am J Gastroenterol 110(10): 1475-1484.","Julien"
"868","Exposure to Tobacco Smoke in Utero and Subsequent Plasma Lipids, ApoB, and CRP among Adult Women in the MoBa Cohort.",2012,"Cupul-Uicab, L. A., R. Skjaerven, K. Haug, G. S. Travlos, R. E. Wilson, M. Eggesbo, J. A. Hoppin, K. W. Whitworth and M. P. Longnecker (2012). ""Exposure to Tobacco Smoke in Utero and Subsequent Plasma Lipids, ApoB, and CRP among Adult Women in the MoBa Cohort."" Environmental Health Perspectives 120(11): 1532-1537.","Tamara"
"1004","Methodological challenges when monitoring the diet of pregnant women in a large study: experiences from the Norwegian Mother and Child Cohort Study (MoBa).",2008,"Meltzer, H. M., A. L. Brantsaeter, T. A. Ydersbond, J. Alexander, M. Haugen and G. MoBa Dietary Support (2008). ""Methodological challenges when monitoring the diet of pregnant women in a large study: experiences from the Norwegian Mother and Child Cohort Study (MoBa)."" Maternal and Child Nutrition 4(1): 14-27.","Ivana"
"391","Prenatal exposure to perfluoroalkyl substances and associations with symptoms of attention-deficit/hyperactivity disorder and cognitive functions in preschool children.",2019,"Skogheim, T. S., G. D. Villanger, K. V. F. Weyde, S. M. Engel, P. Suren, M. G. Oie, A. H. Skogan, G. Biele, P. Zeiner, K. R. Overgaard, L. S. Haug, A. Sabaredzovic and H. Aase (2019). ""Prenatal exposure to perfluoroalkyl substances and associations with symptoms of attention-deficit/hyperactivity disorder and cognitive functions in preschool children."" International Journal of Hygiene & Environmental Health 22: 22.","Agata"
"309","Response to: Modelling paternal exposure as a negative control.",2020,"Wood, M. E., J. M. Cohen, E. Ystrom, H. M. E. Nordeng and S. Hernandez-Diaz (2020). ""Response to: Modelling paternal exposure as a negative control."" International Journal of Epidemiology 49(3): 1054-1055.","Max"
"784","Communication Impairments in Early Term and Late Preterm Children: A Prospective Cohort Study following Children to Age 36 Months.",2014,"Stene-Larsen, K., R. E. Brandlistuen, A. M. Lang, M. A. Landolt, B. Latal and M. E. Vollrath (2014). ""Communication Impairments in Early Term and Late Preterm Children: A Prospective Cohort Study following Children to Age 36 Months."" Journal of Pediatrics 165(6): 1123-1128.","Timo"
"331","Maternal reproductive hormones and angiogenic factors in pregnancy and subsequent breast cancer risk.",2019,"Cornish, R., A. C. Staff, A. Boyd, D. A. Lawlor, S. Tretli, G. Bradwin, T. F. McElrath, M. Hyer, R. N. Hoover and R. Troisi (2019). ""Maternal reproductive hormones and angiogenic factors in pregnancy and subsequent breast cancer risk."" Cancer Causes Control 30(1): 63-74.","Julien"
"583","Genome-wide analysis identifies 12 loci influencing human reproductive behavior.",2016,"Barban, N., R. Jansen, R. de Vlaming, A. Vaez, J. J. Mandemakers, F. C. Tropf, X. Shen, J. F. Wilson, D. I. Chasman, I. M. Nolte, V. Tragante, S. W. van der Laan, J. R. Perry, A. Kong, T. S. Ahluwalia, E. Albrecht, L. Yerges-Armstrong, G. Atzmon, K. Auro, K. Ayers, A. Bakshi, D. Ben-Avraham, K. Berger, A. Bergman, L. Bertram, L. F. Bielak, G. Bjornsdottir, M. J. Bonder, L. Broer, M. Bui, C. Barbieri, A. Cavadino, J. E. Chavarro, C. Turman, M. P. Concas, H. J. Cordell, G. Davies, P. Eibich, N. Eriksson, T. Esko, J. Eriksson, F. Falahi, J. F. Felix, M. A. Fontana, L. Franke, I. Gandin, A. J. Gaskins, C. Gieger, E. P. Gunderson, X. Guo, C. Hayward, C. He, E. Hofer, H. Huang, P. K. Joshi, S. Kanoni, R. Karlsson, S. Kiechl, A. Kifley, A. Kluttig, P. Kraft, V. Lagou, C. Lecoeur, J. Lahti, R. Li-Gao, P. A. Lind, T. Liu, E. Makalic, C. Mamasoula, L. Matteson, H. Mbarek, P. F. McArdle, G. McMahon, S. F. Meddens, E. Mihailov, M. Miller, S. A. Missmer, C. Monnereau, P. J. van der Most, R. Myhre, M. A. Nalls, T. Nutile, I. P. Kalafati, E. Porcu, I. Prokopenko, K. B. Rajan, J. Rich-Edwards, C. A. Rietveld, A. Robino, L. M. Rose, R. Rueedi, K. A. Ryan, Y. Saba, D. Schmidt, J. A. Smith, L. Stolk, E. Streeten, A. Tonjes, G. Thorleifsson, S. Ulivi, J. Wedenoja, J. Wellmann, P. Willeit, J. Yao, L. Yengo, J. H. Zhao, W. Zhao, D. V. Zhernakova, N. Amin, H. Andrews, B. Balkau, N. Barzilai, S. Bergmann, G. Biino, H. Bisgaard, K. Bonnelykke, D. I. Boomsma, J. E. Buring, H. Campbell, S. Cappellani, M. Ciullo, S. R. Cox, F. Cucca, D. Toniolo, G. Davey-Smith, I. J. Deary, G. Dedoussis, P. Deloukas, C. M. van Duijn, E. J. de Geus, J. G. Eriksson, D. A. Evans, J. D. Faul, C. F. Sala, P. Froguel, P. Gasparini, G. Girotto, H. J. Grabe, K. H. Greiser, P. J. Groenen, H. G. de Haan, J. Haerting, T. B. Harris, A. C. Heath, K. Heikkila, A. Hofman, G. Homuth, E. G. Holliday, J. Hopper, E. Hypponen, B. Jacobsson, V. W. Jaddoe, M. Johannesson, A. Jugessur, M. Kahonen, E. Kajantie, S. L. Kardia, B. Keavney, I. Kolcic, P. Koponen, P. Kovacs, F. Kronenberg, Z. Kutalik, M. La Bianca, G. Lachance, W. G. Iacono, S. Lai, T. Lehtimaki, D. C. Liewald, C. M. Lindgren, Y. Liu, R. Luben, M. Lucht, R. Luoto, P. Magnus, P. K. Magnusson, N. G. Martin, M. McGue, R. McQuillan, S. E. Medland, C. Meisinger, D. Mellstrom, A. Metspalu, M. Traglia, L. Milani, P. Mitchell, G. W. Montgomery, D. Mook-Kanamori, R. de Mutsert, E. A. Nohr, C. Ohlsson, J. Olsen, K. K. Ong, L. Paternoster, A. Pattie, B. W. Penninx, M. Perola, P. A. Peyser, M. Pirastu, O. Polasek, C. Power, J. Kaprio, L. J. Raffel, K. Raikkonen, O. Raitakari, P. M. Ridker, S. M. Ring, K. Roll, I. Rudan, D. Ruggiero, D. Rujescu, V. Salomaa, D. Schlessinger, H. Schmidt, R. Schmidt, N. Schupf, J. Smit, R. Sorice, T. D. Spector, J. M. Starr, D. Stockl, K. Strauch, M. Stumvoll, M. A. Swertz, U. Thorsteinsdottir, A. R. Thurik, N. J. Timpson, J. Y. Tung, A. G. Uitterlinden, S. Vaccargiu, J. Viikari, V. Vitart, H. Volzke, P. Vollenweider, D. Vuckovic, J. Waage, G. G. Wagner, J. J. Wang, N. J. Wareham, D. R. Weir, G. Willemsen, J. Willeit, A. F. Wright, K. T. Zondervan, K. Stefansson, R. F. Krueger, J. J. Lee, D. J. Benjamin, D. Cesarini, P. D. Koellinger, M. den Hoed, H. Snieder and M. C. Mills (2016). ""Genome-wide analysis identifies 12 loci influencing human reproductive behavior."" Nat Genet 48(12): 1462-1472.","Tamara"
"714","A novel common variant in DCST2 is associated with length in early life and height in adulthood.",2015,"van der Valk, R. J., E. Kreiner-Moller, M. N. Kooijman, M. Guxens, E. Stergiakouli, A. Saaf, J. P. Bradfield, F. Geller, M. G. Hayes, D. L. Cousminer, A. Korner, E. Thiering, J. A. Curtin, R. Myhre, V. Huikari, R. Joro, M. Kerkhof, N. M. Warrington, N. Pitkanen, I. Ntalla, M. Horikoshi, R. Veijola, R. M. Freathy, Y. Y. Teo, S. J. Barton, D. M. Evans, J. P. Kemp, B. St Pourcain, S. M. Ring, G. Davey Smith, A. Bergstrom, I. Kull, H. Hakonarson, F. D. Mentch, H. Bisgaard, B. Chawes, J. Stokholm, J. Waage, P. Eriksen, A. Sevelsted, M. Melbye, C. M. van Duijn, C. Medina-Gomez, A. Hofman, J. C. de Jongste, H. R. Taal, A. G. Uitterlinden, L. L. Armstrong, J. Eriksson, A. Palotie, M. Bustamante, X. Estivill, J. R. Gonzalez, S. Llop, W. Kiess, A. Mahajan, C. Flexeder, C. M. Tiesler, C. S. Murray, A. Simpson, P. Magnus, V. Sengpiel, A. L. Hartikainen, S. Keinanen-Kiukaanniemi, A. Lewin, A. Da Silva Couto Alves, A. I. Blakemore, J. L. Buxton, M. Kaakinen, A. Rodriguez, S. Sebert, M. Vaarasmaki, T. Lakka, V. Lindi, U. Gehring, D. S. Postma, W. Ang, J. P. Newnham, L. P. Lyytikainen, K. Pahkala, O. T. Raitakari, K. Panoutsopoulou, E. Zeggini, D. I. Boomsma, M. Groen-Blokhuis, J. Ilonen, L. Franke, J. N. Hirschhorn, T. H. Pers, L. Liang, J. Huang, B. Hocher, M. Knip, S. M. Saw, J. W. Holloway, E. Melen, S. F. Grant, B. Feenstra, W. L. Lowe, E. Widen, E. Sergeyev, H. Grallert, A. Custovic, B. Jacobsson, M. R. Jarvelin, M. Atalay, G. H. Koppelman, C. E. Pennell, H. Niinikoski, G. V. Dedoussis, M. I. McCarthy, T. M. Frayling, J. Sunyer, N. J. Timpson, F. Rivadeneira, K. Bonnelykke and V. W. Jaddoe (2015). ""A novel common variant in DCST2 is associated with length in early life and height in adulthood."" Hum Mol Genet 24(4): 1155-1168.","Ivana"
"874","Placental transfer of perfluorinated compounds is selective - A Norwegian Mother and Child sub-cohort study.",2012,"Gutzkow, K. B., L. S. Haug, C. Thomsen, A. Sabaredzovic, G. Becher and G. Brunborg (2012). ""Placental transfer of perfluorinated compounds is selective - A Norwegian Mother and Child sub-cohort study."" International Journal of Hygiene and Environmental Health 215(2): 216-219.","Agata"
"117","Development and description of New Nordic Diet scores across infancy and childhood in the Norwegian Mother, Father and Child Cohort Study (MoBa).",2021,"Agnihotri, N., E. Rudjord Hillesund, E. Bere, A. K. Wills, A. L. Brantsaeter and N. C. Overby (2021). ""Development and description of New Nordic Diet scores across infancy and childhood in the Norwegian Mother, Father and Child Cohort Study (MoBa)."" Maternal and Child Nutrition 17(3).","Max"
"920","Dietary Supplement Use Immediately Before and During Pregnancy in Norwegian Women with Eating Disorders.",2011,"Dellava, J. E., A. Von Holle, L. Torgersen, T. Reichborn-Kjennerud, M. Haugen, H. M. Meltzer and C. M. Bulik (2011). ""Dietary Supplement Use Immediately Before and During Pregnancy in Norwegian Women with Eating Disorders."" International Journal of Eating Disorders 44(4): 325-332.","Timo"
"504","Suboptimal Maternal Iodine Intake Is Associated with Impaired Child Neurodevelopment at 3 Years of Age in the Norwegian Mother and Child Cohort Study.",2017,"Abel, M. H., I. H. Caspersen, H. M. Meltzer, M. Haugen, R. E. Brandlistuen, H. Aase, J. Alexander, L. E. Torheim and A. L. Brantsaeter (2017). ""Suboptimal Maternal Iodine Intake Is Associated with Impaired Child Neurodevelopment at 3 Years of Age in the Norwegian Mother and Child Cohort Study."" J Nutr.","Julien"
"538","Maternal Infections, Antibiotics, and Paracetamol in Pregnancy and Offspring Celiac Disease: A Cohort Study.",2017,"Marild, K., C. R. Kahrs, G. Tapia, L. C. Stene and K. Stordal (2017). ""Maternal Infections, Antibiotics, and Paracetamol in Pregnancy and Offspring Celiac Disease: A Cohort Study."" Journal of Pediatric Gastroenterology and Nutrition 64(5): 730-736.","Tamara"
"334","Within family Mendelian randomization studies.",2019,"Davies, N. M., L. J. Howe, B. Brumpton, A. Havdahl, D. M. Evans and G. D. Smith (2019). ""Within family Mendelian randomization studies."" Human Molecular Genetics 28(R2): R170-R179.","Ivana"
"800","Multiple births and maternal mental health from pregnancy to 5 years after birth: A longitudinal population-based cohort study.",2014,"Ystrom, E., T. Reichborn-Kjennerud, K. Tambs, P. Magnus, A. M. Torgersen and K. Gustavson (2014). ""Multiple births and maternal mental health from pregnancy to 5 years after birth: A longitudinal population-based cohort study."" Norsk Epidemiologi 24(1-2): 203-208.","Agata"
"635","Autism risk associated with parental age and with increasing difference in age between the parents.",2016,"Sandin, S., D. Schendel, P. Magnusson, C. Hultman, P. Suren, E. Susser, T. Gronborg, M. Gissler, N. Gunnes, R. Gross, M. Henning, M. Bresnahan, A. Sourander, M. Hornig, K. Carter, R. Francis, E. Parner, H. Leonard, M. Rosanoff, C. Stoltenberg and A. Reichenberg (2016). ""Autism risk associated with parental age and with increasing difference in age between the parents."" Mol Psychiatry 21(5): 693-700.","Max"
"40","Prenatal work stress is associated with prenatal and postnatal depression and anxiety: Findings from the Norwegian Mother, Father and Child Cohort Study (MoBa).",2022,"Clayborne, Z. M., I. Colman, M. Kingsbury, F. A. Torvik, K. Gustavson and W. Nilsen (2022). ""Prenatal work stress is associated with prenatal and postnatal depression and anxiety: Findings from the Norwegian Mother, Father and Child Cohort Study (MoBa)."" Journal of Affective Disorders 298: 548-554.","Timo"
"592","The influence of maternal dietary exposure to dioxins and PCBs during pregnancy on ADHD symptoms and cognitive functions in Norwegian preschool children.",2016,"Caspersen, I. H., H. Aase, G. Biele, A. L. Brantsaeter, M. Haugen, H. E. Kvalem, A. H. Skogan, P. Zeiner, J. Alexander, H. M. Meltzer and H. K. Knutsen (2016). ""The influence of maternal dietary exposure to dioxins and PCBs during pregnancy on ADHD symptoms and cognitive functions in Norwegian preschool children."" Environ Int 94: 649-660.","Julien"
"778","Self-reported data on medicine use in the Norwegian Mother and Child Cohort Study compared to data from the Norwegian Prescription Database.",2014,"Skurtveit, S. (2014). ""Self-reported data on medicine use in the Norwegian Mother and Child Cohort Study compared to data from the Norwegian Prescription Database."" Norsk epidemiologi(Årg. 24, nr. 1/2): 209-216 : ill.","Tamara"
"206","Maternal dietary selenium intake during pregnancy is associated with higher birth weight and lower risk of small for gestational age births in the norwegian mother, father and child cohort study.",2021,"Sole-Navais, P., A. L. Brantsaeter, I. H. Caspersen, T. Lundh, L. J. Muglia, H. M. Meltzer, G. Zhang, B. Jacobsson, V. Sengpiel and M. Barman (2021). ""Maternal dietary selenium intake during pregnancy is associated with higher birth weight and lower risk of small for gestational age births in the norwegian mother, father and child cohort study."" Nutrients 13(1): 1-16.","Ivana"
"919","Reproducibility of Reported In Utero Exposure to Tobacco Smoke.",2011,"Cupul-Uicab, L. A., X. B. Ye, R. Skjaerven, K. Haug and M. P. Longnecker (2011). ""Reproducibility of Reported In Utero Exposure to Tobacco Smoke."" Annals of Epidemiology 21(1): 48-52.","Agata"
"720","Probiotic milk consumption in pregnancy and infancy and subsequent childhood allergic diseases.",2014,"Bertelsen, R. J., A. L. Brantsaeter, M. C. Magnus, M. Haugen, R. Myhre, B. Jacobsson, M. P. Longnecker, H. M. Meltzer and S. J. London (2014). ""Probiotic milk consumption in pregnancy and infancy and subsequent childhood allergic diseases."" Journal of Allergy and Clinical Immunology 133(1): 165-+.","Max"
"83","Trends of Exposure to Acrylamide as Measured by Urinary Biomarkers Levels within the HBM4EU Biomonitoring Aligned Studies (2000&ndash;2021).",2022,"Poteser, M., F. Laguzzi, T. Schettgen, N. Vogel, T. Weber, A. Murawski, P. Schmidt, M. Rüther, M. Kolossa-Gehring, S. Namorado, A. V. Nieuwenhuyse, B. Appenzeller, E. Dufthaksdóttir, K. Olafsdóttir, L. S. Haug, C. Thomsen, F. Barbone, V. Rosolen, L. Rambaud, M. Riou, T. Göen, S. Nübler, M. Schäfer, K. H. A. Zarrabi, L. Gilles, L. R. Martin, G. Schoeters, O. Sepai, E. Govarts and H. Moshammer (2022). ""Trends of Exposure to Acrylamide as Measured by Urinary Biomarkers Levels within the HBM4EU Biomonitoring Aligned Studies (2000&ndash;2021)."" Toxics 10(8): 443.","Timo"
"130","Association of medically assisted reproduction with offspring cord blood DNA methylation across cohorts.",2021,"Caramaschi, D., J. Jungius, C. M. Page, B. Novakovic, R. Saffery, J. Halliday, S. Lewis, M. C. Magnus, S. J. London, S. E. Haberg, C. L. Relton, D. A. Lawlor and H. R. Elliott (2021). ""Association of medically assisted reproduction with offspring cord blood DNA methylation across cohorts."" Human reproduction 17.","Julien"
