"","ApproximateTitle","Year","TexttoParse","Coder"
"562","Effects of Sample Handling and Analytical Procedures on Thyroid Hormone Concentrations in Pregnant Women's Plasma.",2017,"Villanger, G. D., E. Learner, M. P. Longnecker, H. Ask, H. Aase, R. T. Zoeller, G. P. Knudsen, T. Reichborn-Kjennerud, P. Zeiner and S. M. Engel (2017). ""Effects of Sample Handling and Analytical Procedures on Thyroid Hormone Concentrations in Pregnant Women's Plasma."" Epidemiology 28(3): 365-369.","Tamara"
"775","Folic acid supplementation, dietary folate intake during pregnancy and risk for spontaneous preterm delivery: a prospective observational cohort study.",2014,"Sengpiel, V., J. Bacelis, R. Myhre, S. Myking, A. S. D. Pay, M. Haugen, A. L. Brantsaeter, H. M. Meltzer, R. M. Nilsen, P. Magnus, S. E. Vollset, S. Nilsson and B. Jacobsson (2014). ""Folic acid supplementation, dietary folate intake during pregnancy and risk for spontaneous preterm delivery: a prospective observational cohort study."" Bmc Pregnancy and Childbirth 14.","Ivana"
"402","Early-Life Environmental Exposures and Blood Pressure in Children.",2019,"Warembourg, C., L. Maitre, I. Tamayo-Uria, S. Fossati, T. Roumeliotaki, G. M. Aasvang, S. Andrusaityte, M. Casas, E. Cequier, L. Chatzi, A. Dedele, J.-R. Gonzalez, R. Gražulevičienė, L. S. Haug, C. Hernandez-Ferrer, B. Heude, M. Karachaliou, N. H. Krog, R. McEachan, M. Nieuwenhuijsen, I. Petraviciene, J. Quentin, O. Robinson, A. K. Sakhi, R. Slama, C. Thomsen, J. Urquiza, M. Vafeiadi, J. West, J. Wright, M. Vrijheid and X. Basagaña (2019). ""Early-Life Environmental Exposures and Blood Pressure in Children."" Journal of the American College of Cardiology 74(10): 1317-1328.","Agata"
"967","Infant Birth Size Is Not Associated with Maternal Intake and Status of Folate during the Second Trimester in Norwegian Pregnant Women.",2010,"Nilsen, R. M., S. E. Vollset, A. L. B. Monsen, A. Ulvik, M. Haugen, H. M. Meltzer, P. Magnus and P. M. Ueland (2010). ""Infant Birth Size Is Not Associated with Maternal Intake and Status of Folate during the Second Trimester in Norwegian Pregnant Women."" Journal of Nutrition 140(3): 572-579.","Max"
"779","Prenatal exposure to antidepressants and language competence at age three: results from a large population-based pregnancy cohort in Norway.",2014,"Skurtveit, S., R. Selmer, C. Roth, S. Hernandez-Diaz and M. Handal (2014). ""Prenatal exposure to antidepressants and language competence at age three: results from a large population-based pregnancy cohort in Norway."" Bjog-an International Journal of Obstetrics and Gynaecology 121(13): 1621-1631.","Timo"
"273","Blood-based epigenetic estimators of chronological age in human adults using DNA methylation data from the Illumina MethylationEPIC array.",2020,"Lee, Y., K. L. Haftorn, W. R. P. Denault, H. E. Nustad, C. M. Page, R. Lyle, S. Lee-Odegard, G. H. Moen, R. B. Prasad, L. C. Groop, L. Sletner, C. Sommer, M. C. Magnus, H. K. Gjessing, J. R. Harris, P. Magnus, S. E. Haberg, A. Jugessur and J. Bohlin (2020). ""Blood-based epigenetic estimators of chronological age in human adults using DNA methylation data from the Illumina MethylationEPIC array."" BMC Genomics 21(1).","Julien"
"580","Vitamin d‐binding protein and 25‐hydroxyvitamin d during pregnancy in mothers whose children later developed type 1 diabetes.",2016,"Sørensen, I. M., Joner, G., Jenum, P. A., Eskild, A., Brunborg, C., Torjesen, P. A., and Stene, L. C. (2016). Vitamin d‐binding protein and 25‐hydroxyvitamin d during pregnancy in mothers whose children later developed type 1 diabetes. Diabetes/Metabolism Research and Reviews, 32(8), 883-890. https://doi.org/10.1002/dmrr.2812","Tamara"
"961","Prevalence of breast-feeding in the Norwegian Mother and Child Cohort Study and health service-related correlates of cessation of full breast-feeding.",2010,"Haggkvist, A. P., A. L. Brantsaeter, A. M. Grjibovski, E. Helsing, H. M. Meltzer and M. Haugen (2010). ""Prevalence of breast-feeding in the Norwegian Mother and Child Cohort Study and health service-related correlates of cessation of full breast-feeding."" Public Health Nutrition 13(12): 2076-2086.","Ivana"
"103","Gestational age at birth and body size from infancy through adolescence: findings from analyses of individual data on 253,810 singletons in 16 birth cohort studies.",2022,"Vinther, J. L., T. Cadman, D. Avraam, C. T. Ekstrøm, T. I. A. Sørensen, A. Elhakeem, A. C. Santos, A. P. de Moira, B. Heude, C. Iñiguez, C. Pizzi, E. Simons, E. Voerman, E. Corpeleijn, F. Zariouh, G. Santorelli, H. M. Inskip, H. Barros, J. Carson, J. R. Harris, J. L. Nader, J. Ronkainen, K. Strandberg-Larsen, L. SantaMarina, L. Calas, L. Cederkvist, M. Popovic, M.-A. Charles, M. Welten, M. Vrijheid, M. Azad, P. Subbarao, P. Burton, P. J. Mandhane, R.-C. Huang, R. C. Wilson, S. Haakma, S. Fernández-Barrés, S. Turvey, S. Santos, S. C. Tough, S. Sebert, T. Fenton, T. J. Moraes, T. Salika, V. W. V. Jaddoe, D. A. Lawlor and A.-M. N. Andersen (2022). ""Gestational age at birth and body size from infancy through adolescence: findings from analyses of individual data on 253,810 singletons in 16 birth cohort studies."" medRxiv: 2022.2006.2001.22275859.","Agata"
"949","Family characteristics and caries experience in preschool children. A longitudinal study from pregnancy to 5 years of age.",2011,"Wigen, T. I., I. Espelid, A. B. Skaare and N. J. Wang (2011). ""Family characteristics and caries experience in preschool children. A longitudinal study from pregnancy to 5 years of age."" Community Dentistry and Oral Epidemiology 39(4): 311-317.","Max"
"566","Nocturnal Road Traffic Noise Exposure and Children's Sleep Duration and Sleep Problems.",2017,"Weyde, K. V., N. H. Krog, B. Oftedal, J. Evandt, P. Magnus, S. Overland, C. Clark, S. Stansfeld and G. M. Aasvang (2017). ""Nocturnal Road Traffic Noise Exposure and Children's Sleep Duration and Sleep Problems."" Int J Environ Res Public Health 14(5).","Timo"
"39","How interactions between ADHD and schools affect educational achievement: a family-based genetically sensitive study.",2022,"Cheesman, R., E. M. Eilertsen, Z. Ayorech, N. T. Borgen, O. A. Andreassen, H. Larsson, H. Zachrisson, F. A. Torvik and E. Ystrom (2022). ""How interactions between ADHD and schools affect educational achievement: a family-based genetically sensitive study."" J Child Psychol Psychiatry.","Julien"
"201","Sleep problems and depressive symptoms in toddlers and 8-year-old children: A longitudinal study.",2021,"Sivertsen, B., A. G. Harvey, T. Reichborn-Kjennerud, E. Ystrom and M. Hysing (2021). ""Sleep problems and depressive symptoms in toddlers and 8-year-old children: A longitudinal study."" Journal of Sleep Research 30(1).","Tamara"
"839","Analysis of Self-selection Bias in a Population-based Cohort Study of Autism Spectrum Disorders.",2013,"Nilsen, R. M., P. Suren, N. Gunnes, E. R. Alsaker, M. Bresnahan, D. Hirtz, M. Hornig, K. K. Lie, W. I. Lipkin, T. Reichborn-Kjennerud, C. Roth, S. Schjolberg, G. D. Smith, E. Susser, S. E. Vollset, A. S. Oyen, P. Magnus and C. Stoltenberg (2013). ""Analysis of Self-selection Bias in a Population-based Cohort Study of Autism Spectrum Disorders."" Paediatric and Perinatal Epidemiology 27(6): 553-563.","Ivana"
"843","Psychiatric comorbidity and social aspects in pregnant women with epilepsy - The Norwegian Mother and Child Cohort Study.",2013,"Reiter, S. F., G. Veiby, A. K. Daltveit, B. A. Engelsen and N. E. Gilhus (2013). ""Psychiatric comorbidity and social aspects in pregnant women with epilepsy - The Norwegian Mother and Child Cohort Study."" Epilepsy & Behavior 29(2): 379-385.","Agata"
"1026","Biobanken i Den norske mor og barn undersøkelsen.",2006,"Rønningen, K. S. (2006). ""Biobanken i Den norske mor og barn undersøkelsen."" Norsk epidemiologi(Årg. 16, nr 1): 59-62.","Max"
"718","Assessing the Causal Relationship of Maternal Height on Birth Size and Gestational Age at Birth: A Mendelian Randomization Analysis.",2015,"Zhang, G., J. Bacelis, C. Lengyel, K. Teramo, M. Hallman, O. Helgeland, S. Johansson, R. Myhre, V. Sengpiel, P. R. Njolstad, B. Jacobsson and L. Muglia (2015). ""Assessing the Causal Relationship of Maternal Height on Birth Size and Gestational Age at Birth: A Mendelian Randomization Analysis."" PLoS Med 12(8): e1001865.","Timo"
"365","Gluten Intake in Early Childhood and Risk of Celiac Disease in Childhood: A Nationwide Cohort Study.",2019,"Lund-Blix, N. A. P., K. M. D. P. Marild, G. P. Tapia, J. M. M. D. P. Norris, L. C. P. Stene and K. M. D. P. Stordal (2019). ""Gluten Intake in Early Childhood and Risk of Celiac Disease in Childhood: A Nationwide Cohort Study."" American Journal of Gastroenterology 114(8): 1299-1306.","Julien"
"298","Mechanisms linking parental educational attainment with child ADHD, depression, and academic problems: a study of extended families in The Norwegian Mother, Father and Child Cohort Study.",2020,"Torvik, F. A., E. M. Eilertsen, T. A. McAdams, K. Gustavson, H. D. Zachrisson, R. Brandlistuen, L. C. Gjerde, A. Havdahl, C. Stoltenberg, H. Ask and E. Ystrom (2020). ""Mechanisms linking parental educational attainment with child ADHD, depression, and academic problems: a study of extended families in The Norwegian Mother, Father and Child Cohort Study."" Journal of Child Psychology and Psychiatry.","Tamara"
"676","Perinatal Risk Factors for Development of Celiac Disease in Children, Based on the Prospective Norwegian Mother and Child Cohort Study.",2015,"Emilsson, L., M. C. Magnus and K. Stordal (2015). ""Perinatal Risk Factors for Development of Celiac Disease in Children, Based on the Prospective Norwegian Mother and Child Cohort Study."" Clinical Gastroenterology and Hepatology 13(5): 921-927.","Ivana"
"204","Population prevalence and inheritance pattern of recurrent CNVs associated with neurodevelopmental disorders in 12,252 newborns and their parents.",2021,"Smajlagic, D., K. Lavrichenko, S. Berland, O. Helgeland, G. P. Knudsen, M. Vaudel, J. Haavik, P. M. Knappskog, P. R. Njolstad, G. Houge and S. Johansson (2021). ""Population prevalence and inheritance pattern of recurrent CNVs associated with neurodevelopmental disorders in 12,252 newborns and their parents."" European Journal of Human Genetics 29(1): 205-215.","Agata"
"821","Well-being in mothers of children with congenital heart defects: a 3-year follow-up.",2013,"Gronning Dale, M. T., O. Solberg, H. Holmstrom, M. A. Landolt, L. T. Eskedal and M. E. Vollrath (2013). ""Well-being in mothers of children with congenital heart defects: a 3-year follow-up."" Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation 22(8): 2063-2072.","Max"
"356","Physical activity before, during and after pregnancy in women with spondyloarthritis-data from revnatus.",2019,"Jakobsen, B. and H. S. Koksvik (2019). ""Physical activity before, during and after pregnancy in women with spondyloarthritis-data from revnatus."" Annals of the Rheumatic Diseases 78 (Supplement 2): 2142-2143.","Timo"
"922","Why do some pregnant women prefer cesarean? The influence of parity, delivery experiences, and fear.",2011,"Fuglenes, D., E. Aas, G. Botten, P. Oian and I. S. Kristiansen (2011). ""Why do some pregnant women prefer cesarean? The influence of parity, delivery experiences, and fear."" American Journal of Obstetrics and Gynecology 205(1).","Julien"
"259","Does Prenatal Stress Amplify Effects of Postnatal Maternal Depressive and Anxiety Symptoms on Child Problem Behavior?",2020,"Hartman, S., E. M. Eilertsen, E. Ystrom, J. Belsky and L. C. Gjerde (2020). ""Does Prenatal Stress Amplify Effects of Postnatal Maternal Depressive and Anxiety Symptoms on Child Problem Behavior?"" Developmental Psychology 56(1): 128-137.","Tamara"
"195","Maternal seafood intake during pregnancy, prenatal mercury exposure and child body mass index trajectories up to 8 years.",2021,"Papadopoulou, E., J. Botton, I. H. Caspersen, J. Alexander, M. Eggesbo, M. Haugen, N. Iszatt, B. Jacobsson, H. K. Knutsen, H. M. Meltzer, V. Sengpiel, N. Stratakis, K. Vejrup and A. L. Brantsaeter (2021). ""Maternal seafood intake during pregnancy, prenatal mercury exposure and child body mass index trajectories up to 8 years."" Int J Epidemiol.","Ivana"
"86","Socioeconomic disparities in early language development in two norwegian samples.",2022,"Ribeiro, L. A., H. D. Zachrisson, A. Naerde, M. V. Wang, R. E. Brandlistuen and G. Passaretta (2022). ""Socioeconomic disparities in early language development in two norwegian samples."" Applied Developmental Science: No Pagination Specified.","Agata"
"927","Does universally accessible child care protect children from late talking? Results from a Norwegian population-based prospective study.",2011,"Lekhal, R., H. D. Zachrisson, M. V. Wang, S. Schjølberg and T. von Soest (2011). ""Does universally accessible child care protect children from late talking? Results from a Norwegian population-based prospective study."" Early Child Development and Care 181(8): 1007-1019.","Max"
"148","Cannabis Use during Pregnancy and Risk of Adverse Birth Outcomes: A Longitudinal Cohort Study.",2021,"Gabrhelik, R., M. Mahic, I. O. Lund, J. Bramness, R. Selmer, E. Skovlund, M. Handal and S. Skurtveit (2021). ""Cannabis Use during Pregnancy and Risk of Adverse Birth Outcomes: A Longitudinal Cohort Study."" European Addiction Research 27(2): 131-141.","Timo"
"646","Neurodevelopmental problems at 18 months among children exposed to paracetamol in utero: a propensity score matched cohort study.",2016,"Vlenterie, R., M. E. Wood, R. E. Brandlistuen, N. Roeleveld, M. M. van Gelder and H. Nordeng (2016). ""Neurodevelopmental problems at 18 months among children exposed to paracetamol in utero: a propensity score matched cohort study."" Int J Epidemiol.","Julien"
"964","Childhood abuse and caesarean section among primiparous women in the Norwegian Mother and Child Cohort Study.",2010,"Lukasse, M., S. Vangen, P. Oian and B. Schei (2010). ""Childhood abuse and caesarean section among primiparous women in the Norwegian Mother and Child Cohort Study."" Bjog-an International Journal of Obstetrics and Gynaecology 117(9): 1153-1157.","Tamara"
"551","Complex patterns of concomitant medication use: A study among Norwegian women using paracetamol during pregnancy.",2017,"Salvatore, S., D. Domanska, M. Wood, H. Nordeng and G. K. Sandve (2017). ""Complex patterns of concomitant medication use: A study among Norwegian women using paracetamol during pregnancy."" PLoS ONE 12 (12) ","Ivana"
"226","Parental education and the risk of cerebral palsy for children: an evaluation of causality.",2020,"Forthun, I., Lie, R. T., Strandberg‐Larsen, K., Solheim, M. H., Moster, D., Wilcox, A. J., Mortensen, L. H., and Tollånes, M. C. (2020). Parental education and the risk of cerebral palsy for children: an evaluation of causality. Developmental Medicine & Child Neurology, 62(10), 1176-1181. https://doi.org/10.1111/dmcn.14552","Agata"
"120","No association between maternal exercise during pregnancy and the child's weight status at age 7 years; The MoBa Study.",2021,"Andreassen, S. M., U. Ekelund and G. P. Bernhardsen (2021). ""No association between maternal exercise during pregnancy and the child's weight status at age 7 years; The MoBa Study."" Scandinavian Journal of Medicine & Science in Sports 06: 06.","Max"
"684","Maternal heavy alcohol use and toddler behavior problems: a fixed effects regression analysis.",2015,"Knudsen, A. K., E. Ystrom, J. C. Skogen and L. Torgersen (2015). ""Maternal heavy alcohol use and toddler behavior problems: a fixed effects regression analysis."" European Child & Adolescent Psychiatry 24(10): 1269-1277.","Timo"
